::ffff:127.0.0.1 - - [15/Apr/2024:18:21:49 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "insomnia/8.6.1"
::1 - - [15/Apr/2024:18:22:27 +0000] "OPTIONS /test-post HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [15/Apr/2024:18:22:27 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [15/Apr/2024:18:22:47 +0000] "OPTIONS /test-post HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [15/Apr/2024:18:22:47 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [15/Apr/2024:18:22:57 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "insomnia/8.6.1"
::1 - - [15/Apr/2024:18:24:33 +0000] "OPTIONS /test-post HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [15/Apr/2024:18:24:33 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [15/Apr/2024:18:26:59 +0000] "OPTIONS /test-post HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [15/Apr/2024:18:26:59 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [15/Apr/2024:18:32:16 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "curl/8.4.0"
::1 - - [15/Apr/2024:18:32:33 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "curl/8.4.0"
::1 - - [15/Apr/2024:18:32:41 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "curl/8.4.0"
::1 - - [15/Apr/2024:18:33:15 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "curl/8.4.0"
::ffff:127.0.0.1 - - [15/Apr/2024:18:34:17 +0000] "GET /test-data HTTP/1.1" 200 20 "-" "insomnia/8.6.1"
::ffff:127.0.0.1 - - [15/Apr/2024:18:34:21 +0000] "GET /test-get HTTP/1.1" 404 147 "-" "insomnia/8.6.1"
::ffff:127.0.0.1 - - [15/Apr/2024:18:34:36 +0000] "GET /test-get HTTP/1.1" 200 20 "-" "insomnia/8.6.1"
::ffff:127.0.0.1 - - [15/Apr/2024:18:34:37 +0000] "GET /test-get HTTP/1.1" 200 20 "-" "insomnia/8.6.1"
::ffff:127.0.0.1 - - [15/Apr/2024:18:34:43 +0000] "GET /test-get HTTP/1.1" 200 20 "-" "insomnia/8.6.1"
::1 - - [15/Apr/2024:18:35:02 +0000] "GET /test-get HTTP/1.1" 200 10 "-" "curl/8.4.0"
::1 - - [15/Apr/2024:18:35:41 +0000] "POST /test-post HTTP/1.1" 200 10 "-" "curl/8.4.0"
::1 - - [15/Apr/2024:18:35:52 +0000] "POST /test-post HTTP/1.1" 200 24 "-" "curl/8.4.0"
::1 - - [15/Apr/2024:18:36:19 +0000] "POST /test-post HTTP/1.1" 200 24 "-" "curl/8.4.0"
::1 - - [27/Apr/2024:17:20:30 +0000] "OPTIONS /csrf HTTP/1.1" 204 0 "http://localhost:5050/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
::1 - - [27/Apr/2024:17:20:30 +0000] "POST /csrf HTTP/1.1" 201 95 "http://localhost:5050/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
